name,true_pld,proxy_pld,abs_error,signed_error
wla+N254+E51,5.37588,4.778267860412598,0.5976121395874028,-0.5976121395874028
wnr+N233+E158,8.22746,7.637095928192139,0.590364071807862,-0.590364071807862
noo+N482+E149,6.7651,5.944181442260742,0.8209185577392581,-0.8209185577392581
zfq+N572+E138,4.98516,4.249809265136719,0.7353507348632808,-0.7353507348632808
smg+N589+E50,8.021139999999999,7.564242362976074,0.45689763702392483,-0.45689763702392483
snz+N467+E167,8.54236,7.464354991912842,1.0780050080871586,-1.0780050080871586
vmg+N529+E14,6.73345,5.9771318435668945,0.7563181564331058,-0.7563181564331058
zfh+N206+E58,4.54661,3.706251859664917,0.8403581403350833,-0.8403581403350833
ghw+N391+E15,4.6631599999999995,3.421189069747925,1.2419709302520747,-1.2419709302520747
une+N385+E228,7.79316,7.15480375289917,0.6383562471008304,-0.6383562471008304
tsi+N542+E217,2.74092,2.129645347595215,0.6112746524047852,-0.6112746524047852
wfe+N331+E115,3.53445,2.639887809753418,0.8945621902465821,-0.8945621902465821
whk+N453+E69,5.827719999999999,5.200474262237549,0.6272457377624505,-0.6272457377624505
vmm+N446+E57,8.2954,7.692560195922852,0.6028398040771492,-0.6028398040771492
zfh+N272+E70,7.245839999999999,6.421069145202637,0.8247708547973627,-0.8247708547973627
wiu+N102+E166,8.11236,7.138908386230469,0.9734516137695319,-0.9734516137695319
rob+N591+E230,7.9305,7.2108049392700195,0.7196950607299808,-0.7196950607299808
svn+N233+E43,4.15932,3.2632346153259277,0.8960853846740724,-0.8960853846740724
wjn+N300+E50,6.43369,5.791836738586426,0.6418532614135746,-0.6418532614135746
wmk+N356+E95,8.952589999999999,8.19174861907959,0.7608413809204091,-0.7608413809204091
vbe+N572+E212,7.095619999999999,6.287003040313721,0.8086169596862787,-0.8086169596862787
wib+N144+E186,5.05753,4.356648921966553,0.7008810780334471,-0.7008810780334471
unb+N238+E139,7.817639999999999,7.076686859130859,0.7409531408691397,-0.7409531408691397
wko+N536+E69,5.43302,4.698081970214844,0.7349380297851562,-0.7349380297851562
smc+N634+E123,6.566089999999999,5.485657691955566,1.0804323080444327,-1.0804323080444327
wkf+N286+E131,8.61506,7.552913665771484,1.0621463342285153,-1.0621463342285153
svg+N599+E149,7.174410000000001,6.760174751281738,0.41423524871826256,-0.41423524871826256
ukl+N581+E120,2.09212,0.0,2.09212,-2.09212
