target,feature,pearson,spearman,abs_pearson,abs_spearman
VF,all_q05,0.8739155058272369,0.9429251879835008,0.8739155058272369,0.9429251879835008
VF,all_q25,0.9153935396293209,0.9315837640237766,0.9153935396293209,0.9315837640237766
VF,ch0_q05,0.8714682401583945,0.919965076552822,0.8714682401583945,0.919965076552822
VF,ch0_q95,0.8676728056357288,0.8923530642346272,0.8676728056357288,0.8923530642346272
VF,all_std,-0.6938720351898195,-0.8401127391867308,0.6938720351898195,0.8401127391867308
VF,ch0_max,0.7140700509253508,0.7620831988576466,0.7140700509253508,0.7620831988576466
VF,all_mean,0.683285477719048,0.7434973785543774,0.683285477719048,0.7434973785543774
VF,ch0_min,0.7236477288540665,0.721232688631618,0.7236477288540665,0.721232688631618
VF,all_q50,0.42459767026803535,0.7164130320210697,0.42459767026803535,0.7164130320210697
VF,all_min,0.5506502456729001,0.7044281607228869,0.5506502456729001,0.7044281607228869
VF,ch0_std,0.4599163973898144,0.5981283533356518,0.4599163973898144,0.5981283533356518
VF,ch3_pos_frac,0.5696216709172148,0.5852225344023974,0.5696216709172148,0.5852225344023974
GCD,ch0_max,0.9880030958274981,0.9873021876056878,0.9880030958274981,0.9873021876056878
GCD,ch0_q95,0.9473550249561926,0.9396615629974999,0.9473550249561926,0.9396615629974999
GCD,ch0_q75,0.8403728612706859,0.8553826994578916,0.8403728612706859,0.8553826994578916
GCD,ch0_std,0.8406387894127777,0.8471071218908962,0.8406387894127777,0.8471071218908962
GCD,ch0_mean,0.8056134690764163,0.8296641471208046,0.8056134690764163,0.8296641471208046
GCD,ch0_q50,0.7632932670190465,0.7865445595353237,0.7632932670190465,0.7865445595353237
GCD,ch0_pos_frac,0.7246642518569134,0.7577096016860487,0.7246642518569134,0.7577096016860487
GCD,ch0_neg_frac,-0.7246642518569134,-0.7577096016860487,0.7246642518569134,0.7577096016860487
GCD,ch0_q25,0.6740798121160394,0.7119125162102186,0.6740798121160394,0.7119125162102186
GCD,all_q25,0.6751115867750616,0.6851729818806905,0.6751115867750616,0.6851729818806905
GCD,all_neg_frac,-0.6567714768098339,-0.6826442769024347,0.6567714768098339,0.6826442769024347
GCD,all_pos_frac,0.6567714768098337,0.6826442769024347,0.6567714768098337,0.6826442769024347
GCD,ch3_max,0.6515507543851781,0.6355888716761289,0.6515507543851781,0.6355888716761289
GCD,ch1_max,0.6518634467434649,0.6209513092641089,0.6518634467434649,0.6209513092641089
GCD,all_q05,0.5506359142620735,0.6191750530642062,0.5506359142620735,0.6191750530642062
GCD,all_mean,0.5878850671163163,0.6040349697313355,0.5878850671163163,0.6040349697313355
GCD,ch0_q05,0.5308194259746207,0.5876587413404258,0.5308194259746207,0.5876587413404258
GCD,all_q50,0.37448601642886,0.5837577087741974,0.37448601642886,0.5837577087741974
GCD,ch3_std,0.39529174984780396,0.5658827016858337,0.39529174984780396,0.5658827016858337
GCD,ch1_std,0.5288822568424152,0.5596005392126298,0.5288822568424152,0.5596005392126298
