name,true_pld,proxy_pld,abs_error,signed_error,proxy_pld_calibrated,raw_abs_error,raw_signed_error,cal_abs_error,cal_signed_error
ure+N371+E215,5.1253400000000005,4.558495998382568,0.5668440016174321,-0.5668440016174321,5.386112419067636,0.5668440016174321,-0.5668440016174321,0.26077241906763593,0.26077241906763593
vmo+N446+E130,8.817060000000003,7.8025407791137695,1.0145192208862321,-1.0145192208862321,8.525699870169815,1.0145192208862337,-1.0145192208862337,0.29136012983018844,-0.29136012983018844
ecp+N369+E71,5.50201,4.782871723175049,0.7191382768249515,-0.7191382768249515,5.60326330862214,0.7191382768249515,-0.7191382768249515,0.1012533086221401,0.1012533086221401
gan+N172+E104,8.4868,7.534947395324707,0.9518526046752936,-0.9518526046752936,8.266722918084477,0.9518526046752935,-0.9518526046752935,0.2200770819155231,-0.2200770819155231
irl+N89+E0,7.6808,7.088252544403076,0.5925474555969235,-0.5925474555969235,7.834411515740209,0.5925474555969235,-0.5925474555969235,0.15361151574020937,0.15361151574020937
vby+N144+E205,6.25206,5.4651288986206055,0.7869311013793947,-0.7869311013793947,6.263551994886972,0.7869311013793947,-0.7869311013793947,0.01149199488697139,0.01149199488697139
ghw+N383+E66,3.55594,2.927828311920166,0.6281116880798341,-0.6281116880798341,3.807951773522779,0.6281116880798341,-0.6281116880798341,0.2520117735227787,0.2520117735227787
qtz-x+N457+E102,7.555789999999999,6.853482246398926,0.7023077536010733,-0.7023077536010733,7.607200755308224,0.7023077536010733,-0.7023077536010733,0.05141075530822459,0.05141075530822459
wky+N442+E138,8.92651,7.939757823944093,0.9867521760559086,-0.9867521760559086,8.658498564745635,0.9867521760559077,-0.9867521760559077,0.26801143525436544,-0.26801143525436544
zfh+N383+E204,6.28124,5.480836391448975,0.8004036085510258,-0.8004036085510258,6.278753710863627,0.8004036085510258,-0.8004036085510258,0.0024862891363737205,-0.0024862891363737205
tsx+N336+N429+E102,6.751639999999999,5.819622993469237,0.9320170065307608,-0.9320170065307608,6.606631479574519,0.9320170065307618,-0.9320170065307618,0.1450085204254803,-0.1450085204254803
vmv+N38+E13,6.2499699999999985,5.599532604217528,0.6504373957824701,-0.6504373957824701,6.393627938961522,0.6504373957824701,-0.6504373957824701,0.1436579389615238,0.1436579389615238
rkf+N167+E70,5.74843,5.3558316230773935,0.39259837692260735,-0.39259837692260735,6.157774060878989,0.39259837692260646,-0.39259837692260646,0.4093440608789889,0.4093440608789889
wgt+N242+E95,3.31342,2.342583179473877,0.9708368205261227,-0.9708368205261227,3.2415513697549714,0.9708368205261229,-0.9708368205261229,0.07186863024502843,-0.07186863024502843
bcg+N131+E29,3.3583300000000005,3.0525395870208736,0.3057904129791265,-0.3057904129791265,3.9286473806373268,0.3057904129791269,-0.3057904129791269,0.5703173806373263,0.5703173806373263
fit+N407+N671+E180,5.3811,4.746094226837158,0.6350057731628418,-0.6350057731628418,5.567670037323533,0.6350057731628418,-0.6350057731628418,0.18657003732353328,0.18657003732353328
sra+N109+E226,7.46789,6.796722888946532,0.6711671110534665,-0.6711671110534665,7.552269033203577,0.6711671110534674,-0.6711671110534674,0.08437903320357698,0.08437903320357698
sos+N423+E199,8.34171,7.832600116729736,0.5091098832702645,-0.5091098832702645,8.55479130556802,0.5091098832702645,-0.5091098832702645,0.21308130556801963,0.21308130556801963
skc+N300+E137,3.93901,3.24753999710083,0.6914700028991696,-0.6914700028991696,4.117368832351941,0.69147000289917,-0.69147000289917,0.17835883235194094,0.17835883235194094
mok+N649+E149,6.771719999999998,6.045234680175781,0.726485319824218,-0.726485319824218,6.824978533417039,0.7264853198242172,-0.7264853198242172,0.05325853341704079,0.05325853341704079
vmv+N375+E131,7.31163,7.015236854553223,0.2963931454467774,-0.2963931454467774,7.763746910569592,0.2963931454467774,-0.2963931454467774,0.45211691056959236,0.45211691056959236
yfw+N482+E149,7.1908,6.132842540740968,1.0579574592590335,-1.0579574592590335,6.909765445509656,1.0579574592590326,-1.0579574592590326,0.2810345544903443,-0.2810345544903443
zfy+N482+E131,7.97617,6.997006416320801,0.9791635836791991,-0.9791635836791991,7.746103487321377,0.979163583679199,-0.979163583679199,0.230066512678623,-0.230066512678623
ecn+N586+E168,4.52623,3.7247848510742183,0.8014451489257812,-0.8014451489257812,4.579246536241163,0.8014451489257817,-0.8014451489257817,0.05301653624116298,0.05301653624116298
mok+N346+E48,5.60242,4.527106285095215,1.075313714904785,-1.075313714904785,5.355733445720524,1.0753137149047856,-1.0753137149047856,0.24668655427947606,-0.24668655427947606
pth+N304+N539+E206,8.9171,8.310980796813965,0.6061192031860347,-0.6061192031860347,9.017768262286738,0.6061192031860347,-0.6061192031860347,0.10066826228673875,0.10066826228673875
vms+N423+E27,6.82751,6.412596225738525,0.4149137742614748,-0.4149137742614748,7.18051114052437,0.4149137742614748,-0.4149137742614748,0.3530011405243698,0.3530011405243698
ukh+N164+E168,7.15665,6.10532283782959,1.05132716217041,-1.05132716217041,6.883131869292762,1.0513271621704101,-1.0513271621704101,0.27351813070723807,-0.27351813070723807
cds-f+N172+E70,6.645460000000001,5.786170959472656,0.8592890405273446,-0.8592890405273446,6.574256591665038,0.8592890405273446,-0.8592890405273446,0.07120340833496286,-0.07120340833496286
ecl+N423+E153,8.532689999999999,7.834160327911378,0.6985296720886218,-0.6985296720886218,8.556301278388386,0.6985296720886209,-0.6985296720886209,0.023611278388386836,0.023611278388386836
vcm+N446+E54,8.58173,7.478095054626465,1.1036349453735357,-1.1036349453735357,8.21170120676835,1.1036349453735355,-1.1036349453735355,0.3700287932316506,-0.3700287932316506
vbn+N278+E175,7.91644,6.7905521392822275,1.1258878607177731,-1.1258878607177731,7.546296979943086,1.1258878607177722,-1.1258878607177722,0.370143020056914,-0.370143020056914
xfa+N284+E102,4.45875,3.30920934677124,1.14954065322876,-1.14954065322876,4.177052446306003,1.1495406532287604,-1.1495406532287604,0.2816975536939976,-0.2816975536939976
qzd+N616+E58,5.69071,5.139827251434326,0.550882748565674,-0.550882748565674,5.94872496925673,0.550882748565674,-0.550882748565674,0.2580149692567302,0.2580149692567302
ocu+N657+N149+E204,3.71909,3.0819432735443115,0.6371467264556885,-0.6371467264556885,3.9571042767237983,0.6371467264556885,-0.6371467264556885,0.23801427672379827,0.23801427672379827
vmx+N369+E135,7.33408,6.8286685943603525,0.5054114056396486,-0.5054114056396486,7.583186095887043,0.5054114056396477,-0.5054114056396477,0.24910609588704258,0.24910609588704258
svk+N284+E173,5.97302,5.094863414764403,0.8781565852355957,-0.8781565852355957,5.905208955482569,0.8781565852355966,-0.8781565852355966,0.06781104451743136,-0.06781104451743136
wmo+N356+E58,7.699789999999999,7.257017135620117,0.4427728643798821,-0.4427728643798821,7.997741934581093,0.44277286437988206,-0.44277286437988206,0.2979519345810937,0.2979519345810937
wiv+N425+E13,4.38836,3.298191785812378,1.0901682141876217,-1.0901682141876217,4.166389647711589,1.0901682141876217,-1.0901682141876217,0.22197035228841067,-0.22197035228841067
